,YRN-16 01,YRN-16 02,YRN-16 03,YRN-16 04,YRN-16 05,T(YRN) YRN-16-1908 1,T(YRN) YRN-16-1908 2,T(YRN) YRN-16-1908 3,T(YRN) YRN-16-1908 4,T(YRN) YRN-16-1908 5
3.126356926,6.234330891,-4.00435806,5.844842129,-1.808539424,-0.702898074,-3.68553002,-4.427486962,-5.499692605,1.58992954,1.913147666
3.213200174,6.302019859,-4.632487901,5.84864483,-1.081053593,-0.640314083,-3.586656895,-5.081374335,-5.439689662,2.059852567,2.246715363
3.300043422,6.369708828,-4.543874409,5.852447532,-0.353567762,-0.577730092,-3.48778377,-4.557566582,-5.379686718,2.529775594,2.58028306
3.38688667,6.437397797,-4.455260917,5.856250233,0.373918069,-0.515146102,-3.388910644,-4.033758829,-5.319683775,2.999698621,2.913850756
3.473729917,6.505086766,-4.366647425,5.860052934,1.1014039,-0.452562111,-3.290037519,-3.509951077,-5.259680831,3.469621648,3.247418453
3.560573165,6.572775735,-4.278033932,5.863855635,1.828889731,-0.389978121,-3.191164394,-2.986143324,-5.199677888,3.939544675,3.58098615
3.647416413,6.640464704,-4.18942044,5.867658336,2.556375561,-0.32739413,-3.092291269,-2.462335571,-5.139674944,4.409467702,3.914553846
3.734259661,6.708153673,-4.100806948,5.871461037,3.283861392,-0.264810139,-2.993418144,-1.938527818,-5.079672001,4.87939073,4.248121543
3.821102909,6.775842642,-4.012193455,5.875263738,4.011347223,-0.202226149,-2.894545018,-1.414720066,-5.019669057,5.349313757,4.58168924
3.907946157,6.843531611,-3.923579963,5.879066439,4.738833054,-0.139642158,-2.795671893,-0.890912313,-4.959666114,5.819236784,4.915256936
3.994789405,6.91122058,-3.834966471,5.88286914,5.466318885,-0.077058167,-2.696798768,-0.36710456,-4.89966317,6.289159811,5.248824633
4.081632653,6.978909549,-3.746352978,5.886671841,6.193804716,-0.014474177,-2.597925643,0.156703193,-4.839660227,6.759082838,5.58239233
4.168475901,7.046598517,-3.657739486,5.890474542,6.921290546,0.048109814,-2.499052518,0.680510945,-4.779657283,7.229005865,5.915960026
4.255319149,7.114287486,-3.569125994,5.894277243,7.648776377,0.110693804,-2.400179392,1.204318698,-4.71965434,7.698928892,6.249527723
4.342162397,7.181976455,-3.480512502,5.898079944,8.376262208,0.173277795,-2.301306267,1.728126451,-4.659651396,8.168851919,6.58309542
4.429005645,7.249665424,-3.391899009,5.901882645,9.103748039,0.235861786,-2.202433142,2.251934203,-4.599648453,8.638774946,6.916663116
4.515848893,7.317354393,-3.303285517,5.905685347,9.83123387,0.298445776,-2.103560017,2.775741956,-4.539645509,9.108697973,7.250230813
4.602692141,7.385043362,-3.214672025,5.909488048,10.5587197,0.361029767,-2.004686891,3.299549709,-4.479642566,9.578621,7.58379851
4.689535389,7.452732331,-3.126058532,5.913290749,11.28620553,0.423613757,-1.905813766,3.823357462,-4.419639622,10.04854403,7.917366207
4.776378637,7.5204213,-3.03744504,5.91709345,12.01369136,0.486197748,-1.806940641,4.347165214,-4.359636679,10.51846705,8.250933903
4.863221884,7.588110269,-2.948831548,5.920896151,12.74117719,0.548781739,-1.708067516,4.870972967,-4.299633735,10.98839008,8.5845016
4.950065132,7.655799238,-2.860218056,5.924698852,13.46866302,0.611365729,-1.609194391,5.39478072,-4.239630792,11.45831311,8.918069297
5.03690838,7.723488207,-2.771604563,5.928501553,14.19614885,0.67394972,-1.510321265,5.918588473,-4.179627848,11.92823614,9.477316864
5.123751628,7.791177175,-2.682991071,5.932304254,14.92363469,0.73653371,-1.41144814,6.442396225,-4.119624905,12.39815916,10.19062856
5.210594876,7.858866144,-2.594377579,5.936106955,15.65112052,0.799117701,-1.312575015,6.966203978,-4.059621961,12.86808219,10.90394025
5.297438124,7.926555113,-2.505764086,5.939909656,16.37860635,0.861701692,-1.21370189,7.490011731,-3.999619018,13.33800522,11.61725194
5.384281372,7.994244082,-2.417150594,5.943712357,17.10609218,0.924285682,-1.114828765,8.013819483,-3.939616074,13.80792824,12.33056363
5.47112462,8.061933051,-2.328537102,5.947515058,17.83357801,0.986869673,-1.015955639,8.537627236,-3.879613131,14.27785127,13.04387533
5.557967868,8.12962202,-2.239923609,5.951317759,18.56106384,1.049453663,-0.917082514,9.061434989,-3.819610187,14.7477743,13.75718702
5.644811116,8.197310989,-2.151310117,5.95512046,19.28854967,1.112037654,-0.818209389,9.585242742,-3.759607244,15.21769733,14.47049871
5.731654364,8.264999958,-2.062696625,5.958923161,20.0160355,1.174621645,-0.719336264,10.10905049,-3.6996043,15.68762035,15.1838104
5.818497612,8.332688927,-1.974083133,5.962725863,20.74352133,1.237205635,-0.620463138,10.63285825,-3.639601357,16.08313022,15.8971221
5.90534086,8.400377896,-1.88546964,5.966528564,21.47100716,1.299789626,-0.521590013,11.156666,-3.579598413,16.45215811,16.61043379
5.992184108,8.468066865,-1.796856148,5.970331265,22.19849299,1.362373617,-0.422716888,11.68047375,-3.51959547,16.821186,17.32374548
6.079027356,8.535755834,-1.708242656,5.974133966,22.92597882,1.424957607,-0.323843763,12.20428151,-3.459592526,17.19021389,18.03705717
6.165870604,8.603444802,-1.619629163,5.977936667,23.65346466,1.487541598,-0.224970638,12.72808926,-3.399589583,17.55924178,18.75036887
